Chapter,Title
70,Usopp's Great Manly Adventure 
632,I Knew it All Along 
62,M-H-5 
521,The Hoof of Celestial Dragons 
967,Roger's Adventure 
984,My Bible 
570,Bridge of Life 
121,I Knew 
260,Luffy the Pirate vs. Wiper the Berserker 
804,Adventure in the Country on the Back of an Elephant 
728,The Number of Tragedies 
553,Conflict at the Summit 
889,An Unknown Mama 
1043,Let's Face Death Together!!! 
266,Chopper the Pirate vs. Ohm the Priest 
464,Sanji's Dream 
203,Crocish 
228,"""Last Boss of the Allied Saruyama Forces  Montblanc Cricket"" "
966,Roger and Whitebeard 
689,A Seemingly Non-Existent Island 
61,Demon 
709,King Punch!! 
1,Romance Dawn - The Dawn of the Adventure 
1007,Tanuki-San 
156,Okama Weather 
301,I Was Here 
945,O-Lin 
454,Humming 
257,Dial Battle 
724,Law's Strategy 
853,Not Here 
1049,The World That Should Be 
140,Castle of Snow 
1011,Anko Standards 
455,"""Royal Shichibukai  Gekko Moriah"" "
157,Introducing Ace 
137,Avalanche 
849,Choniki in Mirrorland 
774,"""Leo  the Tontatta Troop Leader"" "
158,Arriving in Alabasta 
972,"""I am Oden  And I Was Born to Boil"" "
392,Dereshi 
581,Creeping Future 
834,My Dream 
28,Crescent Moon 
1034,Sanji vs. Queen 
1015,Chains 
801,Opening Declaration 
527,Level 1 Crimson Hell 
27,Plan 
428,Let's Return 
129,Straight Ahead!!! 
275,Divina Commedia 
333,Captain 
451,Perona's Wonder Garden 
232,The Hundred Million Man 
344,Opposing Powers 
578,He Who Must Live to See a New Age 
104,Cape Promise 
787,4 Minutes Before 
359,Bingo 
699,Morning Paper 
126,Instinct 
145,Inherited Will 
998,Ancient Types 
397,In Order to Reach the Future 
127,Den Den Mushi 
589,Efforts Toward Glory 
674,Spectators 
1038,Kid & Law vs. Big Mom 
47,"""Pirate Fleet Admiral """"Don Krieg"""""" "
135,Lapahn 
791,Rubble 
1006,The Honorable Hyogoro of the Flower 
438,Pride 
38,Pirate Crew 
177,"""30 000 000 vs. 81 000 000"" "
473,"""Royal Shichibukai  Bartholomew Kuma Appears"" "
130,Maximum Speed 
968,Oden's Return 
338,Coup de Vent 
1044,Warrior of Liberation 
482,Morning Comes 
946,Queen vs. O-Lin 
811,Roko 
929,"""Kurozumi Orochi  Shogun of the Wano Country"" "
199,Hope!! 
496,The Yarukiman Mangrove 
489,The Eighth 
387,Gear 
639,I'll Protect Everything 
205,The Suna Suna Clan's Secret Base 
817,Raizo of the Mist 
963,Becoming Samurai 
293,Bolero 
911,Adventure in the Land of Samurai 
501,A World Beginning to Swell 
277,Maxim 
195,Mr. Bushido 
525,Underwater Prison Impel Down 
919,The Ruins of Oden Castle 
746,Stars 
605,The Kraken and the Pirates 
526,Adventure in the Great Prison 
404,Franky vs. Fukuro 
836,The Vivre Card Lola Gave 
113,It's Okay!!! 
756,The Fourth Level 
1004,Kibi Dango 
634,"""100 000 vs. 10"" "
491,Flying Fish Riders 
221,Monsters 
1045,Next Level 
356,Tom-san 
561,Luffy vs. Mihawk 
894,12:05 
662,Shichibukai Law vs. Vice Admiral Smoker 
363,Aqua Laguna 
138,Summit 
585,Brothers' Sake Cups 
446,Doctor Hogback 
975,Kin'emon's Clever Trick 
833,Vinsmoke Judge 
396,Saul 
840,Iron Mask 
999,The Sake I Brewed to Drink With You 
813,Tea Party Invitation 
842,The Power of Fullness 
66,The Spear Is Stifled 
628,Major Cleanup 
657,Severed Head 
261,Genbo the Warrior vs. Yama the Head Holy Guard 
211,King 
421,Gear Third 
873,Trapped Like Sweets in a Cage 
584,The Porchemy Incident 
1023,Two Peas in a Pod 
268,Suite 
620,The Longed-For Amusement Park 
983,Thunder 
790,Heaven and Earth 
340,The Woman Who Brings Darkness 
582,Luffy and Ace 
874,Become My Servant 
625,Uninherited Will 
500,Embers of History 
10,The Incident at the Bar 
619,At the Sea Forest 
355,Spandam 
880,Zero Escape 
395,Ohara vs. the World Government 
692,The Assassins from Dressrosa 
872,Thick and Fluffy 
659,About My Torso 
974,Onward to Onigashima!! 
456,Demon from the Frozen Land 
286,The Monster of Shandora 
481,Shadow's Asgard 
885,It's Brûlée!!! 
1001,Battle of Monsters on Onigashima 
638,Runawayhoshi 
1047,The Sky Over the Capital 
949,Mummy 
412,The Chance Has Ended 
1031,Warrior of Science 
514,Mushrooms Only Grow from the Body 
535,Friends 
672,My Name Is Kin'emon!! 
684,"""Stop It  Vegapunk"" "
174,Mr. Prince 
613,The Mermaid Princess in Hard-Shell Tower 
908,The Reverie Begins 
882,Beyond the Yonko's Expectations 
9,The Devil Girl 
860,10:00 Opening of the Banquet 
400,The Releasing Key 
436,Pants from Frankyhouse 
969,Fool of a Lord 
721,Rebecca and Soldier-san 
389,Respond 
1016,This is O-Tama!! 
954,Like Giving Wings to a Dragon 
768,The Trigger on That Day 
95,"""Spin  Pinwheel  Spin"" "
48,Leave That Path Alone 
670,Blizzard With a Chance of Slime 
935,Queen 
713,Usoland 
520,Gorgon's Eyes 
152,Full Moon 
243,Ordeals 
579,Seconds of Courage 
987,The Brocade of Loyal Retainers 
53,Sabagashira No. 1 
661,The Lake of Bandits 
538,Level 5.5 New Kama Land 
706,I Won't Laugh at You 
923,Yonko Kaido vs. Luffy 
122,A Corpse Won't Help 
691,The King of the Land of Death 
761,Ope Ope no Mi 
262,Chopper the Pirate vs. Gedatsu the Priest 
933,A Samurai's Mercy 
856,Liar 
394,Demons of Ohara 
922,Beasts Pirates General: Kaido 
835,The Nation of Souls 
185,"""Wow  That's Nice"" "
391,"""The Girl Called """"Devil"""""" "
259,Zoro the Pirate vs. Braham the Warrior 
956,Big News 
254,Aubade 
108,100 Bounty Hunters 
897,Pekoms's Cacao Island Esca 
245,Adventure on God's Island 
424,Escape Ship 
364,Kokoro 
383,Luffy vs. Blueno 
374,Struggle 
100,The Legend Has Begun 
114,Route 
147,Downright Lie 
986,My Name 
306,Donut Race!! 
566,Assault 
859,Yonko Assassination Plan 
884,Who 
870,Parting 
244,SOS 
747,Executive Officer Pica 
314,Combat!!! 
189,2 
916,Wano Country Grand Sumo Tournament 
843,Vinsmoke Sanji 
486,Piano 
517,Bathing 
226,Shoujou King of the Ocean Floor Searches 
303,Rich Pirates 
1005,Devil Child 
742,I'll Always Be By Your Side 
467,Pirate Zoro vs. Samurai Ryuma 
490,Arriving Once Again 
881,Wave Room 
308,The Grand Interference Plan 
312,Goal!! 
778,Tactics No. 5 
448,Moriah 
544,Even the Lid of Hell's Cauldron Will Open 
215,Last Waltz 
886,Way of Life 
183,Commander Carue 
781,Long-Cherished Desire 
754,Pleased to Make Your Acquaintance 
982,Ruffian Meets Ruffian 
291,I'm Right Here 
988,Sorry For the Wait 
201,Nico Robin 
800,Followers' Sake Cups 
270,Serenade 
380,Express to Enies Lobby Main Island 
274,Oratorio 
594,Message 
511,Axe-Wielding Sentomaru 
385,There Is a Way 
633,Friend or Foe 
934,Hyogoro of the Flower 
191,The Woman Who Controls the Weather 
926,The Prisoner Mine 
810,The Curly Hat Pirates Arrive 
611,Hody Jones 
825,The WEJ's Comic Strip 
433,The Name of that Sea is 
418,Luffy vs. Rob Lucci 
952,Hiyori and Kawamatsu 
1046,Raizo 
955,Enma 
437,Naked But Great 
503,An Island in Chaos 
247,Ordeal of Balls 
549,Ship Sailing Forth 
587,I Will Not Run! 
90,What Can You Do? 
930,Ebisu Town 
764,White Monster 
296,High-Altitude Situation 
910,Onward to Wano Country 
616,Anniversary of Revenge 
718,The Riku Royal Army in the Flower Fields 
92,Paradise 
602,Rudder Straight Down!! 
808,Duke Inuarashi 
430,Falling Snow of Reminiscence 
477, 3 Out Of 8 
504,Pirate Frontline On The Move!! 
17,Character 
242,Class-2 Criminals 
1028,Brachiojaurus 
299,Fantasia 
222,Big-Time Rookies 
39,For Whom the Bell Tolls 
656,Adventure on the Burning Island 
750,The State of the War 
365,Rocketman!! 
862,The Intelligent Ones 
57,Because of Dreams 
198,4:15 p.m. 
867,Happy Birthday 
775,"""To Russian  With Love"" "
690,SAD 
51,Roronoa Zoro Falls Into the Sea 
753,War 
442,Adventure in the Demon Sea 
707,B Block 
231,Bellamy the Hyena 
682,Mastermind 
263,Nami the Pirate and the Weird Knight vs. the Holy Guard Second-in-Command Hotori and Kotori 
741,Liar Usoland 
938,Her Secret 
505,Kuma 
77,One Step of the Dream 
827,Totto Land 
730,3 Cards 
609,Adventure on Fishman Island 
683,An Icy Woman 
1019,Heliceratops 
698,Doflamingo Appears 
507,Kizaru Arrives 
170,It Begins 
826,0 and 4 
679,The Spirit of G-5 
354,Sea Train 
429,Complete Defeat 
739,Commander 
65,Prepare 
67,Soup 
729,Shichibukai Doflamingo vs. Shichibukai Law 
1000,Straw Hat Luffy 
403,Mr. Chivalry 
819,"""Momonosuke  Heir of the Kozuki Family"" "
466,Conclusion 
909,Seppuku 
715,Closely Contested C Block 
179,The End Will Be in Alubarna 
206,Ignition 
1039,Top Billing 
323,"""The Water Metropolis  Water 7"" "
160,"""Spiders Cafe  8 o'clock"" "
623,Pirate Fisher Tiger 
107,Moonlight and Gravestones 
701,"""Adventure in the Country of Love  Passion  and Toys"" "
758,Leave It and Go Ahead 
529,Level 2 Wild Beast Hell 
146,The Battle of National Defense 
31,Truth 
182,Roar 
788,My Fight 
727,The Lurking Hero 
316,Brother Soul 
711,Adventure in the Land of Dwarves 
555,Oars and the kasa 
202,The Royal Crypt 
209,I Will Surpass You 
645,Death is Also Revenge 
265,Robin the Pirate vs. Yama the Head Holy Warrior 
710,To Green Bit 
236,The Ship Goes Into the Sky 
770,The Spear of Elbaf 
256,"""Wiper the """"Berserker"""""" "
417,Asura 
361,P.S. 
705,Maynard the Pursuer
852,Germa's Failure 
796,Soldier-san's Determination 
224,Never Dream 
649,Dance of Sea Breams and Flounders 
703,Waiting Room 
601,Romance Dawn for the new world - The Dawn of an Adventure into the New World 
422,Rob Lucci 
763,Humanity Declaration 
760,The Same Bet 
40,The Usopp Pirates 
15,Gong 
685,My Name is Momonosuke!! 
951,Rampage 
258,Several Ways South 
524,No One Can Stop This Now 
32,Disaster 
332,Luffy vs. Usopp 
612,Brought by the Shark They Saved 
973,The Kozuki Clan 
439,The Third and the Seventh 
608,Undersea Paradise 
850,A Ray of Light 
285,Capriccio 
736,Executive Officer Diamante 
642,Complete Loss of Face 
1002,Four Emperors vs. New Generation 
50,Every One is a Road 
329,"""My Name is """"Franky"""""" "
271,Zoro the Pirate vs. Ohm the Priest 
192,Whirlwind Warning 
890,Big Mom on the Ship 
171,"""Kohza  Leader of the Rebellion"" "
888,Lion 
737,Officer Tower 
85,Three-Sword Style vs. Six-Sword Style 
136,The Man Called Dalton 
1035,Zoro vs. King 
845,Forces of Rage 
599,9 Pirates 
483,End of the Dream 
14,Reckless!! 
533,Level 4 Inferno Hell 
357,Cutty Flam 
335,Warning 
204,Red 
282,Desire 
169,Strongest Warrior in the Kingdom 
43,Introducing Sanji 
985,New Onigashima Project 
44,Three Cooks 
98,Dark Clouds 
290,The Light of Shandora 
128,Pride (Pirate Flag) 
610,Fortune-Teller Madame Shyarly 
943,SMILE 
350,Warehouse Under the Bridge 
297,Praises of the Earth 
543,Straw Hat and Blackbeard 
769,Pirate Bellamy 
388,Gear Second 
371,The Admirable Captain T-Bone 
596,Spectrum 
139,Introducing Tony Tony Chopper 
717,The Forgotten of Dressrosa 
927,The Courtesan's Kamuro 
101,Reverse Mountain 
406,Seimei Kikan 
176,Rush!! 
680,Marine G-5 Base Leader: Demon Bamboo Vergo 
497,Adventure on the Archipelago of Dancing Soap Bubbles 
165,Plan: Utopia 
283,Operation Love Rescue: Front Line 
593,News 
944,Partner 
731,Operation Dressrosa SOP 
289,Full Moon 
660,Royal Shichibukai Trafalgar Law 
797,Rebecca 
413,Hunter 
794,Sabo's Adventure 
640,Right Above Fishman Island 
615,Curse of Mato Mato 
1029,The Tower 
149,Rumble!! 
4,"""Marine Captain """"Axe-Hand Morgan"""""" "
449,The Mysterious Four of Thriller Bark 
110,The Night Will Not End 
590,My Little Brother 
168,"""Rainbase  Town of Dreams"" "
744,The Revolutionary Army Chief of Staff 
695,Leave It to Me!!! 
977,The Party's Off!!! 
71,King of the Beasts 
99,Luffy Died 
577,Major Events Piling Up One After Another 
643,Phantom 
91,Darts 
912,Amigasa Village 
877,Not Sweet 
419,The Legendary Hero 
45,Before the Storm 
162,Adventure in the Kingdom of Sand 
416,Zoro vs. Kaku 
1033,Shimotsuki Kozaburo 
650,Two Changes You Need to Know 
918,Luffy-tarou Repays the Favor 
673,Vergo and Joker 
317,K.O. 
668,Pirate Alliance 
928,The Oiran Komurasaki Takes the Stage 
666,Yeti Cool Brothers 
757,Trump Card 
178,Level G.L. 
866,Natural Born Destroyer 
871,"""You Can Do It  Caesar!!"" "
960,Kozuki Oden Takes the Stage 
600,The Island of Restarting 
153,Hiluluk's Sakura 
73,"""The Monster from the """"Grand Line"""""" "
820,Dog and Cat Have a History 
994,My Other Name is Yamato 
622,The Sun Pirates 
230,Find the South Bird!! 
405,Power 
734,The Kamaitachi of Rommel 
186,4 
390,Return Fire 
18,"""Pirate """"Buggy the Clown"""""" "
103,Whale 
846,Tamago's Security 
24,Things That Can't Be Faked 
806,At the Fortress of Right Belly 
279,Luffy the Pirate vs. God Enel 
60,Between Right and Wrong 
444,Adventure on the Ghost Island 
366,Sortie!! 
914,Okobore Town 
23,Captain Usopp Appears 
81,Tears 
515,Adventure on an Island of Women 
1017,Orders 
899,The Last Stand 
925,The Blank 
235,Knock Up Stream 
513,I Couldn't Save Them!!! 
508,Island of Carnage 
614,What's Done is Done 
468,Pirate Chopper vs. Mysterious Hogback 
807,10 Days Ago 
958,The Promised Port 
133,Adventure in the Country Without a Name 
1030,Echoing the Impermanence of All Things 
315,Secret Room 
326,Iceburg-san 
414,Sanji vs. Jabra 
861,Good Actor 
1013,Anarchy In The B.M. 
686,The Snow Woman in the Biscuits Room 
799,Parent and Child 
474,Gotta Do It!!! 
913,Tsuru Returns the Favor 
193,Ideal Nation 
384,Raise the Counterattack Signal 
789,Lucy!! 
478,Luffy vs. Luffy 
626,The Three Neptune Brothers 
327,"""Shipyard Island  Construction Dock No. 1"" "
295,Giant Jack 
947,Queen's Gamble 
700,His Own Pace 
832,Germa Kingdom 
1048,Twenty Years 
879,"""One of Big Mom's """"3 Sweet Commanders""""  Katakuri"" "
591,You Sure That's Alright? 
865,"""Hey  Mother"" "
627,You Have My Gratitude 
461,Ghost Buster 
816,Dog vs. Cat 
457,Meeeeeaaaaaat!!! 
875,A Woman's Honor 
903,The Fifth Emperor 
372,Parage 
59,Obligation 
33,The Silent Man 
443,Thriller Bark 
697,Deal 
785,Even If Your Legs Break 
249,The Hidden Cloud Village 
595,Oath 
586,A Fetid Town 
653,The Hero's Hat 
725,The Undefeated Woman 
246,"""Satori  Priest of the Wandering Forest"" "
132,See? 
347,Rokushiki 
373,Necessary Evil 
475,The Forest Pirates 
142,"""Skull  Crossbone and Sakura"" "
828,1 and 2 
281,Deathpiea 
278,Conis 
196,1 
21,Town 
492,Iron Mask Duval 
292,Meeting a Broken Moon Through the Clouds 
123,Luffy vs. Mr. 3 
965,The Kurozumi Family Conspiracy 
792,Prostration 
425,Struggle on the Bridge 
1021,Demonio 
904,The Entrance of the Revolutionary Army Commanders 
143,Unskilled 
539,Emporio Tension Hormones 
68,The Fourth Person 
216,Vivi's Adventure 
565,Path of Oars 
12,Dog 
541,The Likes of Which It Has Never Seen 
907,The Empty Throne 
188,Okama Kenpo 
654,Gam 
924,Ha 
567,"""Marineford Marine Headquarters  Oris Plaza"" "
131,Tin Plate Wapol 
809,Master Nekomamushi 
708,Colosseum of Rascals 
386,Unprecedented 
509,Kizaru vs. the 4 Captains 
848,Goodbye 
532,Jailer Beast Minotaurus 
352,Tom's Workers 
560,The Prisoners of Impel Down 
823,A World Abuzz 
762,The White City 
41,To the Sea 
302,Finale 
748,My Repayment 
1026,The Pivotal Clash 
551,"""Yonko """"Whitebeard"""""" "
723,Change of Plans 
273,Quintet 
369,Ramen Kenpo 
704,Lucy and the Statue of Kyros 
940,The Spark of Rebellion 
117,Dorry and Brogy 
345,The Concealed 
269,Concerto 
572,The Times They Are A-Changin' 
300,Symphony 
552,Ace and Whitebeard 
13,Treasure 
995,A Kunoichi's Oath 
167,Battlefront 
253,Vearth 
42,Yosaku and Johnny 
1036,Bushido is the Way of Death 
64,Giant Battle Spear 
621,Otohime and Tiger 
793,Tiger and Dog 
423,Mermaid Legend 
334,The Case of the Sealed Room 
851,Moist Cigarette 
234,Please Be Sure to Remember It 
109,Responsibility Problem 
900,Bad End Musical 
239,Angel Beach 
844,Luffy vs. Sanji 
932,The Shogun and the Courtesan 
652,Grim Premonitions 
980,Takatau Music 
494,Duval's Tragedy 
891,Believing in Me 
184,Molehill 4th St. 
272,Play 
772,Cabbage & Lomeo 
74,Business 
172,Rebellion 
669,The Operation Begins 
644,To Zero 
341,Devil 
309,Groggy Monsters 
598,2 Years Later 
30,Great!!! 
450,General Zombie Night 
351,Klabautermann 
667,Cool Fight 
779,The Last Fight 
939,An Old Leopard Knows The Way 
558,Younger Brother 
771,Happo Navy Don Sai 
534,Chief Warden Magellan vs. Pirate Luffy 
658,Biscuits Room 
688,Mocha 
655,Punk Hazard 
629,The Former Shichibukai Who Stands in the Way 
678,The Lobby of Laboratory Building A 
818,Inside the Whale 
676,The Perfected Weapon of Mass Destruction 
847,Luffy and Big Mom 
55,Jungle Blood 
305,Foxy the Silver Fox 
677,Counter Hazard!! 
49,The Storm 
557,Luffy and Whitebeard 
588,Sabo's Ocean 
488,Song of Life 
432,Jack in the Box 
868,KX Launcher 
343,Cipher Pol No. 9 
84,Zombie 
548,Thank You 
78,Bell-mère-san 
116,Huge 
35,Neo Hill Road 
487,That Song 
427,It's Not Like It's Hell Here 
190,Clima Tact 
105,Log Pose 
863,The Honorable 
991,Let Us Die!!! 
34,Klahadore the Butler 
1040,Wasted Words on Young Ears 
294,Raigoh 
831,Adventure in the Mysterious Forest 
379,Dōriki 
472,Down 
663,CC 
37,"""The Pirate  """"Kuro of a Hundred Plans"""""" "
163,"""Yuba  the Rebel Town"" "
381,Fired 
330,I've Decided 
531,Level 3 Starvation Hell 
223,I Promise Not to Fight Within This Town 
782,The Charisma of Evil 
208,Guardian Spirits 
431,Fist of Love 
502,The Celestial Dragon Incident 
931,Soba Mask 
1037,Shuron Hakke 
822,Descending the Elephant 
990,Army of One 
441,Duel on Banaro Island 
241,The Judgement of Heaven 
752,Palm 
516,The Pirate Empress Boa Hancock 
321,One-on-One 
250,Ball Dragon 
79,Survive 
251,Overture 
637,The Ancient Ark 
106,The Town of Celebration 
20,A Thief's Philosophy 
821,Understood 
298,Love Song 
82,"""OK  Let's Stand Up!"" "
187,Even Match 
942,"""The Daimyo of Hakumai  Shimotsuki Yasuie"" "
921,Shutenmaru 
339,Rumors 
607,"""10 000 Meters Under the Sea"" "
887,"""Somewhere  Someone is Wishing for Your Happiness"" "
8,Introducing Nami 
220,Sea Floor Stroll 
712,Violet 
112,Luffy vs. Zoro 
118,Someone's Here 
803,Elephant Climbing 
665,Candy 
11,Take Flight 
1041,Komurasaki 
322,Puffing Tom 
732,The Underground World 
2,"""That Guy  """"Straw Hat Luffy"""""" "
480,Ambush Attack 
320,Greatest Power 
681,Luffy vs. Master 
219,Salvage King Masira 
370,You're Not Alone 
837,Luffy vs. Commander Cracker 
213,VIP 
26,Captain Kuro's Plan 
664,Master Caesar Clown 
458,Not the Afro 
917,The Treasure Ship of Provisions 
46,An Uninvited Guest 
687,Wild Animal 
94,The Second Person 
154,To Alabasta 
233,The Highest Authority in the World 
693,Die for Me 
646,Frog 
528,"""Jinbe  Knight of the Sea"" "
829,"""The Yonko  Charlotte Linlin the Pirate"" "
498,The 11 Supernovas 
313,Main Event 
751,Sabo vs. Admiral Fujitora 
896,The Last Request 
96,Greatest Evil of the East 
562,Pirate Maelstrom Spider Squard 
518,The Arena 
210,0 
342,Messengers of Darkness 
1018,Jinbe vs. Who's-Who 
398,Declaration of War 
63,I Ain't Gonna Die 
993,The Dream of Wano Country 
522,Fatal Disease 
738,Trebol Army Special Officer Sugar 
906,The Holy Land Mary Geoise 
54,Pearl-san 
119,Makeshift 
550,Marine Headquarters 
75,Sea Charts and Fishman 
839,I Owe You My Life 
150,Royal Drum Crown 7-Shot Bliking Cannon 
362,Ebb Tide 
814,Let's Go See Master Nekomamushi 
420,Buster Call 
571,Execution Platform 
733,What Soldier-san Wants 
948,Kawamatsu the Kappa Takes the Stage 
671,Gasu Gasu no Mi 
495,Gaon Cannon 
714,Lucy and Ucy 
194,Cut Through Steel 
597,3D2Y 
469,"""Show Yourselves  Straw Hat Crew!!!"" "
783,In My Way 
360,Departing Soon 
284,Thanks 
353, The Legendary Shipwrigh
435,Understanding Your Feelings 
950,The Warriors' Dreams 
415, Heat U
647, Stop Noa
506, Roger And Raleig
573, The Current Age Is Named Whitebear
402, Handcuff Number 
892,Recognized as Strong Opponents 
702,Corrida Colosseum 
641,What Are You? 
802,Zou 
22, You Are A Rare And Precious Anima
978,Introducing The Tobi Ropp
857, Roo
225,A Man's Dream 
